TeamId,TeamName,SubmissionDate,Score
8107763,"SKT T1 Faker","2022-02-20 16:38:13",0.90990
8074759,"Team 2359","2022-02-21 15:45:47",0.89021
8092825,"CHOI, Jun Seok","2022-02-16 04:55:46",0.84367
8187561,bananaclh,"2022-02-21 12:43:47",0.84128
8188175,"Deadline Fighter","2022-02-23 14:45:33",0.82398
8182267,"Wong Tin Wang David","2022-02-21 15:04:11",0.80787
8080830,"Kwok Lam Him","2022-02-19 03:37:19",0.79295
8074295,"Team Rand(1000) :)","2022-02-21 01:45:05",0.79116
8125780,leong,"2022-02-21 03:02:11",0.73568
8078742,nezuko,"2022-02-19 13:20:48",0.72553
8184789,"Fat Goose","2022-02-22 12:05:36",0.72136
8183083,"Chong Tsz Wing","2022-02-22 18:35:23",0.71599
8135376,"xiao tian cai","2022-02-10 13:31:25",0.70823
8073956,Silverming,"2022-02-17 13:29:17",0.70107
8163201,hncheung852,"2022-02-21 16:02:54",0.68019
8071752,TCLau953,"2022-02-20 06:09:21",0.66348
8078334,Team6684,"2022-02-21 09:12:01",0.61515
8071741,HồChíMinh,"2022-02-23 19:17:00",0.61217
8171341,team93,"2022-02-22 05:09:10",0.57577
8071746,polaris,"2022-02-21 08:19:25",0.56324
8113423,S1155133928,"2022-02-19 16:55:49",0.56085
8146652,"Lo Chun Hei","2022-02-21 06:47:56",0.54236
8119523,ckykenny,"2022-02-11 05:14:31",0.50477
8182210,Tatoe,"2022-02-20 06:20:37",0.47315
8181854,T9.304,"2022-02-20 15:07:58",0.45942
8156026,tlkok21,"2022-02-21 14:37:21",0.33830
8114555,"Resnet baseline","2022-02-07 10:41:02",0.28699
8116172,TOMtomTOM,"2022-02-21 15:50:51",0.00715
8114551,"MLP baseline","2022-02-06 11:41:36",0.00298
8092957,"Kwok Chun Kiu","2022-02-16 09:52:31",0.00178
